"ITTER107","Territory","TIPO_DATO15","Data type","SEXISTAT1","Gender","ISO","Most relevant country of citizenship","TIME","Select time","Value","Flag Codes","Flags"
"ITC4","Lombardia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2014","2014",35879,,
"ITC4","Lombardia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2015","2015",45883,,
"ITC4","Lombardia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2016","2016",54374,,
"ITC4","Lombardia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2017","2017",42367,,
"ITC4","Lombardia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2018","2018",30474,,
"ITC4","Lombardia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2019","2019",31437,,
"ITC4","Lombardia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2020","2020",32805,,
"ITC4","Lombardia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2021","2021",29509,,
"ITC4","Lombardia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2022","2022",55596,,
"ITD","Nord-est","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2012","2012",21445,,
"ITD","Nord-est","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2013","2013",34916,,
"ITD","Nord-est","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2014","2014",44640,,
"ITD","Nord-est","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2015","2015",59472,,
"ITD","Nord-est","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2016","2016",66193,,
"ITD","Nord-est","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2017","2017",47438,,
"ITD","Nord-est","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2018","2018",34171,,
"ITD","Nord-est","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2019","2019",34873,,
"ITD","Nord-est","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2020","2020",38706,,
"ITD","Nord-est","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2021","2021",36736,,
"ITD","Nord-est","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2022","2022",61243,,
"ITDA","Trentino Alto Adige / Südtirol","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2012","2012",2218,,
"ITDA","Trentino Alto Adige / Südtirol","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2013","2013",3259,,
"ITDA","Trentino Alto Adige / Südtirol","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2014","2014",3831,,
"ITDA","Trentino Alto Adige / Südtirol","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2015","2015",5631,,
"ITDA","Trentino Alto Adige / Südtirol","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2016","2016",6648,,
"ITDA","Trentino Alto Adige / Südtirol","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2017","2017",4293,,
"ITDA","Trentino Alto Adige / Südtirol","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2018","2018",2667,,
"ITDA","Trentino Alto Adige / Südtirol","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2019","2019",3325,,
"ITDA","Trentino Alto Adige / Südtirol","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2020","2020",3949,,
"ITDA","Trentino Alto Adige / Südtirol","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2021","2021",4594,,
"ITDA","Trentino Alto Adige / Südtirol","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2022","2022",5529,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2012","2012",974,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2013","2013",1475,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2014","2014",1775,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2015","2015",2339,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2016","2016",3187,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2017","2017",2377,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2018","2018",1115,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2019","2019",1683,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2020","2020",1846,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2021","2021",1991,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2022","2022",2251,,
"ITD2","Provincia Autonoma Trento","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2012","2012",1244,,
"ITD2","Provincia Autonoma Trento","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2013","2013",1784,,
"ITD2","Provincia Autonoma Trento","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2014","2014",2056,,
"ITD2","Provincia Autonoma Trento","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2015","2015",3292,,
"ITD2","Provincia Autonoma Trento","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2016","2016",3461,,
"ITD2","Provincia Autonoma Trento","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2017","2017",1916,,
"ITD2","Provincia Autonoma Trento","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2018","2018",1552,,
"ITD2","Provincia Autonoma Trento","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2019","2019",1642,,
"ITD2","Provincia Autonoma Trento","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2020","2020",2103,,
"ITD2","Provincia Autonoma Trento","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2021","2021",2603,,
"ITD2","Provincia Autonoma Trento","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2022","2022",3278,,
"ITD3","Veneto","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2012","2012",8346,,
"ITD3","Veneto","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2013","2013",14592,,
"ITD3","Veneto","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2014","2014",20331,,
"ITD3","Veneto","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2015","2015",25802,,
"ITD3","Veneto","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2016","2016",29313,,
"ITD3","Veneto","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2017","2017",20661,,
"ITD3","Veneto","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2018","2018",15536,,
"ITD3","Veneto","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2019","2019",16960,,
"ITD3","Veneto","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2020","2020",17139,,
"ITD3","Veneto","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2021","2021",13254,,
"ITD3","Veneto","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2022","2022",23804,,
"ITD4","Friuli-Venezia Giulia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2012","2012",2137,,
"ITD4","Friuli-Venezia Giulia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2013","2013",2872,,
"ITD4","Friuli-Venezia Giulia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2014","2014",4033,,
"ITD4","Friuli-Venezia Giulia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2015","2015",5525,,
"ITD4","Friuli-Venezia Giulia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2016","2016",4962,,
"ITD4","Friuli-Venezia Giulia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2017","2017",3631,,
"ITD4","Friuli-Venezia Giulia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2018","2018",2522,,
"ITD4","Friuli-Venezia Giulia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2019","2019",2574,,
"ITD4","Friuli-Venezia Giulia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2020","2020",3050,,
"ITD4","Friuli-Venezia Giulia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2021","2021",2408,,
"ITD4","Friuli-Venezia Giulia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2022","2022",4470,,
"ITD5","Emilia-Romagna","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2012","2012",8744,,
"ITD5","Emilia-Romagna","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2013","2013",14193,,
"ITD5","Emilia-Romagna","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2014","2014",16445,,
"ITD5","Emilia-Romagna","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2015","2015",22514,,
"ITD5","Emilia-Romagna","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2016","2016",25270,,
"ITD5","Emilia-Romagna","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2017","2017",18853,,
"ITD5","Emilia-Romagna","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2018","2018",13446,,
"ITD5","Emilia-Romagna","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2019","2019",12014,,
"ITD5","Emilia-Romagna","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2020","2020",14568,,
"ITD5","Emilia-Romagna","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2021","2021",16480,,
"ITD5","Emilia-Romagna","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2022","2022",27440,,
"ITE","Centro (I)","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2012","2012",14195,,
"ITE","Centro (I)","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2013","2013",19619,,
"ITE","Centro (I)","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2014","2014",23311,,
"ITE","Centro (I)","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2015","2015",35898,,
"ITE","Centro (I)","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2016","2016",38531,,
"ITE","Centro (I)","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2017","2017",28075,,
"ITE","Centro (I)","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2018","2018",21564,,
"ITE","Centro (I)","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2019","2019",27536,,
"ITE","Centro (I)","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2020","2020",28302,,
