"ITTER107","Territory","TIPO_DATO15","Data type","SEXISTAT1","Gender","ISO","Most relevant Country of citizenship","MOTIVOPS1","Reason","TIME","Select time","Value","Flag Codes","Flags"
"ITC12","Vercelli","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2013","2013",1,,
"ITC12","Vercelli","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2014","2014",1,,
"ITC12","Vercelli","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2015","2015",2,,
"ITC12","Vercelli","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2016","2016",1,,
"ITC12","Vercelli","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2017","2017",1,,
"ITC12","Vercelli","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2018","2018",2,,
"ITC12","Vercelli","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2019","2019",2,,
"ITC12","Vercelli","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2020","2020",2,,
"ITC12","Vercelli","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2021","2021",1,,
"ITC12","Vercelli","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2022","2022",2,,
"ITC43","Lecco","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","OTH1","elective residence, religion, health","2007","2007",1,,
"ITC43","Lecco","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","OTH1","elective residence, religion, health","2012","2012",5,,
"ITC43","Lecco","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","OTH1","elective residence, religion, health","2013","2013",4,,
"ITC43","Lecco","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","OTH1","elective residence, religion, health","2014","2014",1,,
"ITC43","Lecco","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","OTH1","elective residence, religion, health","2015","2015",2,,
"ITC43","Lecco","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","OTH1","elective residence, religion, health","2017","2017",2,,
"ITC43","Lecco","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","OTH1","elective residence, religion, health","2018","2018",5,,
"ITC43","Lecco","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","OTH1","elective residence, religion, health","2019","2019",5,,
"ITC43","Lecco","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","OTH1","elective residence, religion, health","2020","2020",1,,
"ITC43","Lecco","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","OTH1","elective residence, religion, health","2021","2021",2,,
"ITC43","Lecco","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","OTH1","elective residence, religion, health","2022","2022",1,,
"ITC41","Varese","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","ALL","all items","2007","2007",21,,
"ITC41","Varese","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","ALL","all items","2008","2008",24,,
"ITC41","Varese","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","ALL","all items","2009","2009",17,,
"ITC41","Varese","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","ALL","all items","2010","2010",21,,
"ITC41","Varese","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","ALL","all items","2011","2011",14,,
"ITC41","Varese","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","ALL","all items","2012","2012",15,,
"ITC41","Varese","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","ALL","all items","2013","2013",11,,
"ITC41","Varese","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","ALL","all items","2014","2014",14,,
